email,password,username,name
user1@gmail.com,PEeMxAmXNL,user1,Jane Doe
annemarie30@yahoo.com,WQ3JKMHaxg,annemarie30,Annemarie Jones
santaClaus@cmu.edu,WK67uk4PDY,santaClaus,Santa Claus
jackolantern@hotmail.com,ygnKV8WT38,jackolantern ,Jacko Lantern
avicii18@gmail.com,w2esU8N7sA,avicii18,Tim Bergling
alex2001@hotmail.com,BfabAKVcFv,alex2001,Alexandra Richter
arianagrande@gmail.com,RL4whfmhhC,arianagrande,Ariana Grande
sia321@gmail.com,HTrZrx5vFx,sia321,Sia
theweeknd@gmail.com,XLXG8nsavk,theweeknd,The Weeknd
franko@yahoo.com,CM2yW736Z2,franko,Frank Ocean
postm@gmail.com,Yd5EUDVLp2,postm,Post Malone
jooooji@gmail.com,9Nk9F7xwkC,jooooji,Joji
zico@yahoo.com,6paaeRJXQm,zico,Zico
toyota@gmail.com,hSYkzQR2Bv,toyota,Toyota
mcdonalds@hotmail.com,rx43LttbhH,mcdonalds,McDonald's
reebok@yahoo.com,GyqvxQVugR,reebok,Reebok
cocacola@gmail.com,rFJUXUe4jc,cocacola,Coca-Cola
h&m@hotmail.com,TwZsjdhzBr,h&m,H&M 
